"value","value_noun","value_verb","count"
"၌","အတွင်း","ပင်တင်",1
"၌","အတွင်း","ပိတ်မိ",1
"၌","အတွင်း","ပေး",1
"၌","အတွင်း","ဖမ်းဆီး",1
"၌","အတွင်း","ဖြစ်",1
"၌","အတွင်း","ဖော်ပြ",1
"၌","အတွင်း","ဘက်လိုက်ယိမ်း",1
"၌","အတွင်း","များ",1
"၌","အတွင်း","ရောင်ပြန်ကွေးညွှတ်",1
"၌","အတွင်း","သယ်",1
"၌","အတွင်း","သာ",1
"၌","အတွင်း","သေဆုံး",1
"၌","အတွင်းပိုင်း","ရှိ",1
"၌","အတိတ်","ထုတ်ဖော်",1
"၌","အထဲ","ထည့်",1
"၌","အဓိကရုဏ်း","သေဆုံး",1
"၌","အနည်းငယ်","ကန့်ကွက်",1
"၌","အနည်းငယ်","အကြမ်းဖက်",1
"၌","အနှံ့အပြား","ဖြစ်",1
"၌","အနာဂတ်","စကားပြော",1
"၌","အနီး","ဖြစ်",1
"၌","အနီး","ဖြစ်ပွား",1
"၌","အနီး",NA,1
"၌","အနီးအနား","တွေ့",1
"၌","အနီးအနား","ရှိ",1
"၌","အနီးအနား","ရိုက်ခတ်",1
"၌","အနေအထား","ရောက်",1
"၌","အန္တရာယ်","ရှိ",1
"၌","အန္တာတိက",NA,1
"၌","အန်ဇက်အက်စ်တီ","ရေတွက်",1
"၌","အန်နာကော့ဒ်","ဖြစ်",1
"၌","အန်နာကော့ဒ်",NA,1
"၌","အန်ဝိုင်အက်အီး","စိတ်ပါဝင်စား",1
"၌","အန်ဝိုင်အက်အီး","လဲလှယ်",1
"၌","အပြီး","လွှင့်ထူ",1
"၌","အပြီး","လွှတ်တင်",1
"၌","အပိုင်း","ဖြစ်ပွား",1
"၌","အပိုင်း",NA,1
"၌","အပူချိန်","လုံလောက်",1
"၌","အပေါ်","ချဲ့",1
"၌","အပေါ်","စွဲချက်တင်",1
"၌","အပေါ်","ဆုံးဖြတ်",1
"၌","အပေါ်","ထုတ်လွှင့်ပြ",1
"၌","အပေါ်","ရှိ",1
"၌","အပေါ်","အသုံးပြု",1
"၌","အဖွဲ့","ဖြစ်",1
"၌","အဖွဲ့","မဲ",1
"၌","အဖွဲ့ဝင်","ရှာဖွေ",1
"၌","အဖွဲ့အစည်း","ရွှေ့ပြောင်း",1
"၌","အဖွဲ့အစည်း","အသုံးပြု",1
"၌","အဖွဲ့အစည်း","အံ့ဩ",1
"၌","အဘူဒါဘီ",NA,1
"၌","အမျိုးအစား","သတ်",1
"၌","အမှတ်","ထမ်းဆောင်",1
"၌","အမှတ်","ရှိ",1
"၌","အမှု","သက်ဆိုင်",1
"၌","အမှု","အသုံးပြု",1
"၌","အမိန့်","ကြား",1
"၌","အမိန့်","ပြင်းထန်",1
"၌","အမိန့်","ဖြစ်",1
"၌","အမေရိက","အိပ်စက်",1
"၌","အမ်ဝုဒ်",NA,1
"၌","အယ်လ်-ရှိခ်","တက်",1
"၌","အယ်အေ-ရုပ်သံ","ကစား",1
"၌","အရပ်","ကျ",1
"၌","အရွယ်","ပတ်",1
"၌","အရှေ့ပိုင်း","ထုတ်ပေး",1
"၌","အရိုးစု","ပြင်းထန်",1
"၌","အရေအတွက်","မတောင်းပန်",1
"၌","အလယ်ပိုင်း","တင်",1
"၌","အလယ်ပိုင်း","တားမြစ်",1
"၌","အလယ်ဗဟို","တိုင်းတာ",1
"၌","အလှူရှင်","လုပ်",1
"၌","အလို","တွေ့မြင်",1
"၌","အလို","သေဆုံး",1
"၌","အသက်","သေဆုံး",1
"၌","အသင်း","နိုင်",1
"၌","အသင်း","ရရှိ",1
"၌","အသင်း","အောင်မြင်",1
"၌","အသင်း",NA,1
"၌","အသင်းတော်ပွဲ","လက်ခံ",1
"၌","အားကစားပွဲ",NA,1
"၌","အာကာသ","ရှိ",1
"၌","အားစားကွင်း",NA,1
"၌","အာဇာနည်","မီးတောက်",1
"၌","အာဏာ",NA,1
"၌","အာဖဂန်နစ္စတန်","ထမ်းဆောင်",1
"၌","အာဖဂန်နစ္စတန်","သောင်းကျန်း",1
"၌","အာရုံ","ဆုံးရှုံး",1
"၌","အိန္ဒိယ","မျှော်မှန်း",1
"၌","အိပ်ဆောင်ခန်းမ",NA,1
"၌","အိမ်","ချ",1
"၌","အိမ်","နေထိုင်",1
"၌","အိမ်တော်","ကြိုဆို",1
"၌","အိုဘယ်လ်",NA,1
"၌","အိုလံပစ်","ယှဉ်ပြိုင်",1
"၌","အိုလံပစ်","ရ",1
"၌","အီးယူရိုဗစ်ရှင်","အကျဉ်းချုံး",1
"၌","အီရတ်","ထိန်းသိမ်း",1
"၌","အီရတ်","လိုအပ်",1
"၌","အီရတ်","အခြေစိုက်",1
"၌","အီရတ်",NA,1
"၌","အီရန်","ချိတ်ဆက်",1
"၌","အီရန်","တည်ဆောက်",1
"၌","အေ","ကျန်ရစ်",1
"၌","အေကေပီ",NA,1
"၌","အေအိုင်အက်စ်","ပစ်",1
"၌","အေအီးအက်စ်တီ",NA,1
"၌","အောက်","ခွင့်ပြု",1
"၌","အောက်","ဆံ့",1
"၌","အောက်","ထိန်းသိမ်း",1
"၌","အောက်","နေထိုင်",1
"၌","အောက်","ရရှိ",1
"၌","အောက်ခြေ","တူးဖော်",1
"၌","အော်ရီဂွန်","ဖမ်းဆီး",1
"၌","ဥပဒေ","သက်ရောက်",1
"၌","ဥပဒေကြမ်း","ဖယ်ရှား",1
"၌","ဥမင်","တွေ့",1
"၌","ဥရောပ","စစ်ဆင်",1
"၌","ဥရောပ","ဖွင့်လှစ်",1
"၌","ဦးနှောက်","ထုတ်လုပ်",1
"၌","ဧပြီ","တင်ပြ",1
"၌","ဧရိယာ","တားမြစ်",1
"၌","ဧရိယာ","ရှိ",1
"၌","ဧရိယာ","ဝင်",1
"၌","ဧရိယာ","အခြေစိုက်",1
"၌","ဩစတြေးလျ","သေ",1
"တွင်","နေ့",NA,75
"တွင်","ခုနှစ်",NA,58
"တွင်","နေ့","ရှိ",37
"တွင်","လ",NA,32
"တွင်","နေရာ","ရှိ",28
"တွင်","မြို့",NA,22
"တွင်","အချိန်",NA,22
"တွင်","အောက်","ရှိ",22
"တွင်","နိုင်ငံ",NA,21
"တွင်","ခုနှစ်","စတင်",19
"တွင်","ရက်",NA,18
"တွင်","နှစ်",NA,17
"တွင်","နေ့","စတင်",17
"တွင်","ခုနှစ်","ဖြစ်",15
"တွင်","နေ့","ကျင်းပ",15
"တွင်","နောက်ဆုံး",NA,15
"တွင်","နေ့","ဖြစ်",14
"တွင်","နေ့","ဖြစ်ပွား",14
"တွင်","အခြေအနေ","ရှိ",14
"တွင်","ခုနှစ်","သေဆုံး",12
"တွင်","နေ့","ပြုလုပ်",12
"တွင်","နေ့","ပြောကြား",12
"တွင်","အချိန်","ရှိ",12
"တွင်","ခုနှစ်","ရရှိ",11
"တွင်","ခုနှစ်","ရှိ",11
"တွင်","ပွဲ","ပါဝင်",11
"တွင်","နောက်ပိုင်း",NA,10
"တွင်","ပွဲ",NA,10
"တွင်","လ","ရှိ",10
"တွင်","စာ","ဖော်ပြ",9
"တွင်","နေရာ","သေဆုံး",9
"တွင်","မြို့","ကျင်းပ",9
"တွင်","ရက်","ရှိ",9
"တွင်","လ","ဖြစ်",9
"တွင်","နှစ်","ကွယ်လွန်",8
"တွင်","နေ့","ကြော်ငြာ",8
"တွင်","နေ့","ထုတ်ပြန်",8
"တွင်","နေရာ",NA,8
"တွင်","ပြိုင်ပွဲ","ရရှိ",8
"တွင်","ပြိုင်ပွဲ",NA,8
"တွင်","ရွေးကောက်ပွဲ","ရရှိ",8
"တွင်","နာရီ",NA,7
"တွင်","နိုင်ငံ","သေဆုံး",7
"တွင်","နေ့","ထုတ်ဝေ",7
"တွင်","နေ့","အတည်ပြု",7
"တွင်","ပြည်နယ်",NA,7
"တွင်","ပြိုင်ပွဲ","ရ",7
"တွင်","ပွဲ","ပြောကြား",7
"တွင်","ရက်","စတင်",7
"တွင်","လ","စတင်",7
"တွင်","အတွင်း",NA,7
"တွင်","အဖွဲ့","ပါဝင်",7
"တွင်","အောက်",NA,7
"တွင်","ခုနှစ်","ဖြစ်ပွား",6
"တွင်","နိုင်ငံ","ဖြစ်",6
"တွင်","နိုင်ငံ","ရှိ",6
"တွင်","နေ့","ကြေညာ",6
"တွင်","နေ့","တိုက်ခိုက်",6
"တွင်","နေ့","ပြော",6
"တွင်","နေ့","ဖမ်းဆီး",6
"တွင်","ဖြစ်ရပ်","ပါဝင်",6
"တွင်","မြို့","နေထိုင်",6
"တွင်","ရွေးကောက်ပွဲ",NA,6
"တွင်","လ","ကျင်းပ",6
"တွင်","လ","ဖြစ်ပွား",6
"တွင်","သမိုင်း","ဖြစ်",6
"တွင်","အစောပိုင်း",NA,6
"တွင်","အပေါ်","ရှိ",6
"တွင်","ကြား","ရှိ",5
"တွင်","ခုနှစ်","ဆန့်ကျင်",5
"တွင်","ခုနှစ်","တိုက်ခိုက်",5
"တွင်","ခုနှစ်","ထုတ်",5
"တွင်","ခုနှစ်","ထုတ်လုပ်",5
"တွင်","ခုနှစ်","ဖမ်းဆီး",5
"တွင်","စာ",NA,5
"တွင်","နှစ်","သေဆုံး",5
"တွင်","နိုင်ငံ","နေထိုင်",5
"တွင်","နိုင်ငံ","ဖြစ်ပွား",5
"တွင်","နေ့","ပြသ",5
"တွင်","နေ့","ရောက်",5
"တွင်","နေ့","ဝင်",5
"တွင်","နေရာ","ဖြစ်",5
"တွင်","နေရာ","အစားထိုး",5
"တွင်","ပွဲ","ပြော",5
"တွင်","ပွဲ","ရရှိ",5
"တွင်","မြို့","သေဆုံး",5
"တွင်","မှတ်တမ်း","ဖြစ်",5
"တွင်","မိနစ်","သွင်း",5
"တွင်","လ","ပြုလုပ်",5
"တွင်","လ","သေဆုံး",5
"တွင်","လုပ်ငန်းစဉ်","ပါဝင်",5
"တွင်","သူ","ပါဝင်",5
"တွင်","အချိန်","ရောက်",5
"တွင်","အနီး","ရှိ",5
"တွင်","အပိုင်း",NA,5
"တွင်","အပေါ်","အခြေခံ",5
"တွင်","အဖွဲ့",NA,5
"တွင်","အရွယ်","ကွယ်လွန်",5
"တွင်","အောက်","ဖြစ်",5
"တွင်","ကိစ္စ",NA,4
"တွင်","ခုနှစ်","စီစဉ်",4
"တွင်","ခုနှစ်","ဆိုင်",4
"တွင်","ခုနှစ်","ပြုလုပ်",4
"တွင်","ခုနှစ်","မွေးဖွား",4
"တွင်","ခုနှစ်","သတ်",4
"တွင်","စာရင်း","ထည့်",4
"တွင်","စာရင်း","ပါဝင်",4
"တွင်","ည",NA,4
"တွင်","နံနက်","ရှိ",4
"တွင်","နာရီ","ရှိ",4
"တွင်","နေ့","ထွက်ခွာ",4
"တွင်","နေ့","ထုတ်",4
"တွင်","နေ့","ပြန်ပေးဆွဲ",4
"တွင်","နေ့","ဖော်ပြ",4
"တွင်","နေ့","သတ်",4
"တွင်","နေ့","သဘောတူ",4
"တွင်","နေရာ","ကြာ",4
"တွင်","နေရာ","တွေ့",4
"တွင်","နေရာ","ရှာဖွေ",4
"တွင်","နေရာ","ဝင်ရောက်",4
"တွင်","ပြည်နယ်","ဖြစ်",4
"တွင်","ပြည်နယ်","သေဆုံး",4
"တွင်","ပြိုင်ပွဲ","ထိုင်လျှက်စီး",4
"တွင်","ပွဲ","ရ",4
"တွင်","ပွဲ","အနိုင်ရ",4
"တွင်","ဗုံး","ပါဝင်",4
"တွင်","မြို့","ဖြစ်ပွား",4
"တွင်","မြို့တော်",NA,4
"တွင်","မိနစ်","ပေး",4
"တွင်","ယခု",NA,4
"တွင်","ရက်","ကျင်းပ",4
"တွင်","ရက်","ဖြစ်",4
"တွင်","ရက်","ဖြစ်ပွား",4
"တွင်","ရက်","သေဆုံး",4
"တွင်","ရာသီ",NA,4
"တွင်","ရုံ","ကစား",4
"တွင်","လ","ပေး",4
"တွင်","လ","အတည်ပြု",4
"တွင်","ဝန်းကျင်","ရှိ",4
"တွင်","သတင်း","ပြော",4
"တွင်","အစီအစဉ်","ပါဝင်",4
"တွင်","အတွင်း","ဖြစ်",4
"တွင်","အတွင်း","ရှိ",4
"တွင်","အမ်ဝုဒ်",NA,4
"တွင်","အသင်း","ကစား",4
"တွင်","အောက်","ပိတ်",4
"တွင်","အောက်","ဖော်ပြ",4
"တွင်","အောက်","လုပ်ဆောင်",4
"တွင်","ဥရောပ",NA,4
"တွင်","ကမ္ဘာ","ဖြစ်",3
"တွင်","ကြော်ငြာ","သရုပ်ဆောင်",3
"တွင်","ကား","သေဆုံး",3
"တွင်","ကီလိုမီတာ","တည်ရှိ",3
"တွင်","ခုနှစ်","ကျင်းပ",3
"တွင်","ခုနှစ်","ချိတ်ဆက်",3
"တွင်","ခုနှစ်","ဆက်သွယ်",3
"တွင်","ခုနှစ်","ပါဝင်",3
"တွင်","ခုနှစ်","ပေါက်ကွဲ",3
"တွင်","ခုနှစ်","ရွေးချယ်",3
"တွင်","ခုနှစ်","ရှာဖွေ",3
"တွင်","ခုနှစ်","လက်ခံ",3
"တွင်","ခုနှစ်","လေ့လာ",3
"တွင်","ခုနှစ်","ဝင်ရောက်",3
"တွင်","ခုနှစ်","သဘောတူ",3
"တွင်","ခုနှစ်","အနားယူ",3
"တွင်","ခုနှစ်","အာဏာသိမ်း",3
"တွင်","ခုနှစ်","ဦးဆောင်",3
"တွင်","ငလျင်","သေဆုံး",3
"တွင်","စနစ်","ရှိ",3
"တွင်","စာ","ပါဝင်",3
"တွင်","စာရင်း","ရှိ",3
"တွင်","ဆေးရုံ","သေဆုံး",3
"တွင်","ဌာန","လုပ်",3
"တွင်","တစ်ဝက်","ကြိုးစား",3
"တွင်","တစ်ဝက်","ဦးဆောင်",3
"တွင်","တောင်ဘက်",NA,3
"တွင်","ဒေသ","နေထိုင်",3
"တွင်","ဒေသ","ဖြစ်ပွား",3
"တွင်","နယ်ပယ်",NA,3
"တွင်","နယ်မြေ","နေထိုင်",3
"တွင်","နှစ်","ကျဆင်း",3
"တွင်","နှစ်","ရှိ",3
"တွင်","နှစ်","လုပ်",3
"တွင်","နှောင်းပိုင်း",NA,3
"တွင်","နာရီ","စတင်",3
"တွင်","နိုင်ငံ","တိုးတက်",3
"တွင်","နိုင်ငံ","ပိုမို",3
"တွင်","နိုင်ငံ","ရရှိ",3
"တွင်","နိုင်ငံ","သက်ရောက်",3
"တွင်","နေ့","ကွယ်လွန်",3
"တွင်","နေ့","ခေါ်",3
"တွင်","နေ့","စုံစမ်း",3
"တွင်","နေ့","ဆန့်ကျင်",3
"တွင်","နေ့","တင်ပြ",3
"တွင်","နေ့","တရားဝင်",3
"တွင်","နေ့","ထား",3
"တွင်","နေ့","ပစ်ခတ်",3
"တွင်","နေ့","ပြန်လာ",3
"တွင်","နေ့","ပြောဆို",3
"တွင်","နေ့","ပေါက်ကွဲ",3
"တွင်","နေ့","ပေါင်း",3
"တွင်","နေ့","ပေါ်",3
"တွင်","နေ့","ရှင်းလင်း",3
"တွင်","နေ့","ရှာဖွေ",3
"တွင်","နေ့","လွှဲပြောင်း",3
"တွင်","နေ့","လှုပ်ရှား",3
"တွင်","နေ့","သတ်မှတ်",3
"တွင်","နေ့","သေဆုံး",3
"တွင်","နေ့","အဆုံးသတ်",3
"တွင်","နေ့","အောင်မြင်",3
"တွင်","နေရာ","ကျော်",3
"တွင်","နေရာ","ဆေးလိပ်",3
"တွင်","နေရာ","ထား",3
"တွင်","နေရာ","ပျက်စီး",3
"တွင်","နေရာ","ပါဝင်",3
"တွင်","နေရာ","ပိုမို",3
"တွင်","နေရာ","ပေါက်ကွဲ",3
"တွင်","နေရာ","ဖော်ပြ",3
"တွင်","နေရာ","လုပ်",3
"တွင်","နေရာ","အကြမ်းဖက်",3
"တွင်","နေရာ","အသုံးပြု",3
"တွင်","နေအိမ်","သေဆုံး",3
"တွင်","နောက်","ရှိ",3
"တွင်","နောက်ကွယ်","ရှိ",3
"တွင်","နောက်ဆုံး","ရရှိ",3
"တွင်","နောက်ဆုံး","ရောက်",3
"တွင်","နောက်ပိုင်း","ပြန်",3
"တွင်","နောက်ပိုင်း","ရှိ",3
"တွင်","ပန်းခြံ",NA,3
"တွင်","ပြည်ထောင်စု","ရှိ",3
"တွင်","ပြည်နယ်","တိုက်",3
"တွင်","ပြည်နယ်","ရှိ",3
"တွင်","ပြိုင်ပွဲ","နိုင်",3
"တွင်","ပြိုင်ပွဲ","ပါဝင်",3
"တွင်","ပြိုင်ပွဲ","ဖြစ်",3
"တွင်","ပြိုင်ပွဲ","ယှဥ်ပြိုင်",3
"တွင်","ပြိုင်ပွဲ","ရှိ",3
"တွင်","ပြိုင်ပွဲ","လုပ်ဆောင်",3
"တွင်","ပြိုင်ပွဲ","အနိုင်ရ",3
"တွင်","ပွဲစဉ်","အနိုင်ရ",3
"တွင်","ဗုံး","သေဆုံး",3
"တွင်","မြို့","တွေ့",3
"တွင်","မြို့","ဖြစ်",3
"တွင်","မြို့","ရှိ",3
"တွင်","မြို့တော်","နေထိုင်",3
"တွင်","မှတ်","ပိတ်",3
"တွင်","မိနစ်","ပြီးဆုံး",3
"တွင်","မိနစ်","ရှိ",3
"တွင်","မိုင်","တည်ရှိ",3
"တွင်","မေးခွန်း",NA,3
"တွင်","ယခု","ဖြစ်",3
"တွင်","ယနေ့","ကြော်ငြာ",3
"တွင်","ရက်","မွေးဖွား",3
"တွင်","ရလဒ်",NA,3
"တွင်","ရွေးကောက်ပွဲ","ရှုံးနိမ့်",3
"တွင်","ရွေးကောက်ပွဲ","အနိုင်ရ",3
"တွင်","လ","တည်ထောင်",3
"တွင်","လ","ထုတ်ဝေ",3
"တွင်","လ","ပါဝင်",3
"တွင်","လ","ဖြန့်ချီ",3
"တွင်","လ","သဘောတူ",3
"တွင်","လမ်း",NA,3
"တွင်","လွှတ်တော်","ဖြစ်",3
"တွင်","လုပ်ငန်း","တိုးတက်",3
"တွင်","လုပ်ငန်း","ပါဝင်",3
"တွင်","လူ","သေဆုံး",3
"တွင်","လူ",NA,3
"တွင်","လေယာဉ်","သေဆုံး",3
"တွင်","သင်တန်း","ဖန်တီး",3
"တွင်","သတင်း","ပြောကြား",3
"တွင်","သူ","ရှိ",3
"တွင်","အကြာ","ရှိ",3
"တွင်","အချိန်","ပေး",3
"တွင်","အချိန်","ဖြစ်ပွား",3
"တွင်","အချိန်","လုပ်",3
"တွင်","အချိန်","သိ",3
"တွင်","အချိန်","အနိုင်ရ",3
"တွင်","အခြေအနေ","ဖြစ်",3
"တွင်","အခြေအနေ",NA,3
"တွင်","အစီအစဉ်","ဖြစ်",3
"တွင်","အတွင်း","တည်ရှိ",3
"တွင်","အတွင်း","ဖြစ်ပွား",3
"တွင်","အနီး","တည်ရှိ",3
"တွင်","အနီး","တွေ့",3
"တွင်","အနီး","ပေါက်ကွဲ",3
"တွင်","အပြီး",NA,3
"တွင်","အပိုင်း","ဖြစ်ပွား",3
"တွင်","အပိုင်း","ရှိ",3
"တွင်","အပေါ်","မှီခို",3
"တွင်","အဖြစ်အပျက်","ပါဝင်",3
"တွင်","အမှု","ပါဝင်",3
"တွင်","အသက်","သေဆုံး",3
"တွင်","အသစ်","ရင်းနှီး",3
"တွင်","အီရတ်","တိုက်ခိုက်",3
"တွင်","အီရတ်","ဖြစ်",3
"တွင်","အောက်","တရားဝင်",3
"တွင်","အောက်","ထား",3
"တွင်","အောက်","ပါဝင်",3
"တွင်","အောက်","ပေး",3
"တွင်","ကစားပွဲ","ဖြစ်",2
"တွင်","ကဏ္ဍ","ပါဝင်",2
"တွင်","ကပြောင်းကပြန်",NA,2
"တွင်","ကမ္ဘာ","ငတ်မွတ်ခေါင်းပါး",2
"တွင်","ကမ္ဘာ","ရှိ",2
"တွင်","ကျေးရွာ","နေထိုင်",2
"တွင်","ကျောင်း",NA,2
"တွင်","ကြား",NA,2
"တွင်","ကွင်း","ပြုလုပ်",2
"တွင်","ကွင်း","ယှဉ်ပြိုင်",2
"တွင်","ကာတာ",NA,2
"တွင်","ကာလ","ပေး",2
"တွင်","ကာလ",NA,2
"တွင်","ကိစ္စ","ပြုလုပ်",2
"တွင်","ကိစ္စ","ဖြေရှင်း",2
"တွင်","ကိစ္စ","ရှင်းလင်း",2
"တွင်","ကိစ္စ","ရှိ",2
"တွင်","ကီလိုမီတာ","ဖြစ်",2
"တွင်","ကီလိုမီတာ","ရှိ",2
"တွင်","ကုမ္ပဏီ","ရှိ",2
"တွင်","ခရိုင်",NA,2
"တွင်","ခြေစစ်ပွဲ","ကစား",2
"တွင်","ခုနှစ်","ကစား",2
"တွင်","ခုနှစ်","ကျူးကျော်",2
"တွင်","ခုနှစ်","စွဲဆို",2
"တွင်","ခုနှစ်","ဆက်နွယ်",2
"တွင်","ခုနှစ်","ဆွတ်ခူး",2
"တွင်","ခုနှစ်","ဆွေးနွေး",2
"တွင်","ခုနှစ်","တင်ပြ",2
"တွင်","ခုနှစ်","တည်ဆောက်",2
"တွင်","ခုနှစ်","တည်ထောင်",2
"တွင်","ခုနှစ်","တပ်ဆင်",2
"တွင်","ခုနှစ်","တွေ့",2
"တွင်","ခုနှစ်","တိုက်",2
"တွင်","ခုနှစ်","တီထွင်",2
"တွင်","ခုနှစ်","ထုတ်ပြန်",2
"တွင်","ခုနှစ်","ပျက်",2
"တွင်","ခုနှစ်","ပြင်းထန်",2
"တွင်","ခုနှစ်","ပြန်",2
"တွင်","ခုနှစ်","ပူးပေါင်း",2
"တွင်","ခုနှစ်","ပေါ်",2
"တွင်","ခုနှစ်","ဖျက်သိမ်း",2
"တွင်","ခုနှစ်","များ",2
"တွင်","ခုနှစ်","ယုံကြည်",2
"တွင်","ခုနှစ်","ရ",2
"တွင်","ခုနှစ်","ရပ်ဆိုင်း",2
"တွင်","ခုနှစ်","ရယူ",2
"တွင်","ခုနှစ်","ရုပ်သိမ်း",2
"တွင်","ခုနှစ်","ရေးသား",2
"တွင်","ခုနှစ်","ရောက်",2
"တွင်","ခုနှစ်","လိမ်လည်",2
"တွင်","ခုနှစ်","လုပ်",2
"တွင်","ခုနှစ်","လုပ်ဆောင်",2
"တွင်","ခုနှစ်","အခြေချ",2
"တွင်","ခုနှစ်","အစားထိုး",2
"တွင်","ခုနှစ်","အပြီးသတ်",2
"တွင်","ခုနှစ်","အသတ်ခံ",2
"တွင်","ဂျာနယ်",NA,2
"တွင်","ဂျေရုဆလင်",NA,2
"တွင်","ငွေကြေး","ပိုမို",2
"တွင်","စက်တင်ဘာ","ဖြစ်",2
"တွင်","စခန်း","ရရှိ",2
"တွင်","စတင်ချိန်",NA,2
"တွင်","စရိတ်","ကုန်ကျ",2
"တွင်","စာ","ထုတ်ပြန်",2
"တွင်","စာ","ဖြစ်",2
"တွင်","စာချုပ်","လက်မှတ်ထိုး",2
"တွင်","စာစောင်","ပြော",2
"တွင်","စာမျက်နှာ","ပါဝင်",2
"တွင်","စာရင်း","ဖြစ်",2
"တွင်","စာရင်း","များ",2
"တွင်","စာရင်း",NA,2
"တွင်","စီ","ရှုံးနိမ့်",2
"တွင်","စီမံကိန်း","ပါဝင်",2
"တွင်","ဆင်ခြေဖုံး",NA,2
"တွင်","ဆန္ဒခံယူပွဲ","ထောက်ခံ",2
"တွင်","ဆန္ဒခံယူပွဲ","မဲ",2
"တွင်","ဆီးရီးယား","အသတ်ခံ",2
"တွင်","ဆေးရုံ","ကုသ",2
"တွင်","ဆေးရုံ","တင်",2
"တွင်","ဆေးရုံ","ရှိ",2
"တွင်","ဇုန်",NA,2
"တွင်","ဈေးကွက်","ရင်းနှီးမြှူပ်နှံ",2
"တွင်","ဈေးနှုန်း","ရောင်းချ",2
"တွင်","ည","ရှိ",2
"တွင်","ညနေ","ကျင်းပ",2
"တွင်","ဌာန","ဖြစ်",2
"တွင်","ဌာန","ရှိ",2
"တွင်","ဌာန",NA,2
"တွင်","တက္ကသိုလ်",NA,2
"တွင်","တစ်ဖက်",NA,2
"တွင်","တစ်လျှောက်","ဖြစ်",2
"တွင်","တစ်ဝက်","ကစား",2
"တွင်","တစ်ဝက်","ရရှိ",2
"တွင်","တစ်ဝက်",NA,2
"တွင်","တနင်္ဂနွေ",NA,2
"တွင်","တပ်ဖွဲ့","ထမ်းဆောင်",2
"တွင်","တရား","ဖော်ပြ",2
"တွင်","တရားရုံး","စွဲချက်တင်",2
"တွင်","တိုက်ပွဲ","ပါဝင်",2
"တွင်","တိုင်းပြည်","ရှိ",2
"တွင်","တောင်ပိုင်း","တိုက်ခိုက်",2
"တွင်","တောင်ပိုင်း","ရှိ",2
"တွင်","ထောင့်","တည်ရှိ",2
"တွင်","ထောင့်","ရှိ",2
"တွင်","ဒါရိုက်တာ","ခန့်အပ်",2
"တွင်","ဒီဇင်ဘာ",NA,2
"တွင်","ဒေသ","ကျော်",2
"တွင်","ဒေသ","စတင်",2
"တွင်","ဒေသ","တိုက်",2
"တွင်","ဒေသ","တိုက်ခိုက်",2
"တွင်","ဒေသ","ပြုလုပ်",2
"တွင်","ဒေသ","ပို",2
"တွင်","ဒေသ","ဖမ်းဆီး",2
"တွင်","ဒေသ","ဖြစ်",2
"တွင်","ဒေသ","ရင်ဆိုင်",2
"တွင်","ဒေသ","ရှာဖွေ",2
"တွင်","ဒေသ","လာ",2
"တွင်","ဒေသ","သေဆုံး",2
"တွင်","နံနက်","တရားဝင်",2
"တွင်","နံနက်",NA,2
"တွင်","နယူးဇီလန်","လုပ်",2
"တွင်","နယူးဇီလန်",NA,2
"တွင်","နယ်မြေ","ဖြစ်",2
"တွင်","နယ်မြေ","ဖြစ်ပွား",2
"တွင်","နယ်မြေ",NA,2
"တွင်","နှစ်","စတင်",2
"တွင်","နှစ်","စုဆောင်း",2
"တွင်","နှစ်","ပါဝင်",2
"တွင်","နှစ်","မြှင့်တင်",2
"တွင်","နှစ်","ရ",2
"တွင်","နှစ်","ရရှိ",2
"တွင်","နှစ်","လိုအပ်",2
"တွင်","နှောင်းပိုင်း","ကြော်ငြာ",2
"တွင်","နှောင်းပိုင်း","ရှိ",2
"တွင်","နာရီ","ဖွင့်လှစ်",2
"တွင်","နာရီ","သေဆုံး",2
"တွင်","နိုင်ငံ","ကျ",2
"တွင်","နိုင်ငံ","ကျင်းပ",2
"တွင်","နိုင်ငံ","ကျဆင်း",2
"တွင်","နိုင်ငံ","ကြော်ငြာ",2
"တွင်","နိုင်ငံ","ချိုးဖောက်",2
"တွင်","နိုင်ငံ","ခုခံ",2
"တွင်","နိုင်ငံ","စုံစမ်း",2
"တွင်","နိုင်ငံ","တရားဝင်",2
"တွင်","နိုင်ငံ","ထိခိုက်",2
"တွင်","နိုင်ငံ","ထုတ်",2
"တွင်","နိုင်ငံ","ထုတ်ပြန်",2
"တွင်","နိုင်ငံ","ပါဝင်",2
"တွင်","နိုင်ငံ","ပို",2
"တွင်","နိုင်ငံ","ပေါင်း",2
"တွင်","နိုင်ငံ","ပေါ်",2
"တွင်","နိုင်ငံ","ရောက်",2
"တွင်","နိုင်ငံ","လျှော့ချ",2
"တွင်","နိုင်ငံ","လွတ်လပ်",2
"တွင်","နိုင်ငံ","လုံခြုံ",2
"တွင်","နိုင်ငံ","လုပ်ဆောင်",2
"တွင်","နိုင်ငံ","သတ်မှတ်",2
"တွင်","နိုင်ငံ","အကြမ်းဖက်",2
"တွင်","နိုင်ငံ","အသုံးပြု",2
"တွင်","နေ့","ကစား",2
"တွင်","နေ့","ကျော်",2
"တွင်","နေ့","ခွဲ",2
"တွင်","နေ့","ငြင်းဆို",2
"တွင်","နေ့","စစ်ဆေး",2
"တွင်","နေ့","စီစဉ်",2
"တွင်","နေ့","ဆင်းသက်",2
"တွင်","နေ့","ဆွေးနွေး",2
"တွင်","နေ့","ဆိုင်",2
