,count,count,count
တစ်ဝန်း,3.0,1.0,2.0
တစ်ဝိုက်,5.0,,
တစ်ဝှမ်း,6.0,2.0,
တစ်သက်တာ,,,1.0
တစ်သျူး,1.0,,
တစ်သျှုး,1.0,,
တည့်တည့်,,1.0,
တည်ငြိမ်ရေး,1.0,1.0,
တည်ဆောက်နေချိန်,,1.0,
တည်ဆောက်ပုံ,2.0,,
တည်ဆောက်သူ,1.0,,
တည်နေရာ,2.0,1.0,
တည်ရာ,,1.0,
တတိယပိုင်း,1.0,,
တတ်နိုင်စွမ်း,1.0,,
တနင်္ဂနွေ,3.0,,
တန်ခိုးအာဏာ,1.0,,
တန်ဖိုး,3.0,4.0,
တန်း,2.0,1.0,
တန်းဒူလ်ကာ,1.0,,
တပတ်,4.0,,
တပ်,2.0,,1.0
တပ်စခန်း,2.0,1.0,
တပ်စု,1.0,1.0,
တပ်ဖွဲ့,7.0,4.0,
တပ်မတော်,,1.0,
တပ်ရင်း,2.0,,
တပ်သား,1.0,,
တဖက်,,1.0,
တဖက်လူ,1.0,,
တဘက်,,,1.0
တဘီလီစီ,1.0,,
တယ်လီဖုန်း,1.0,,
တရား,16.0,2.0,
တရားခွင်,4.0,,1.0
တရားရုံး,37.0,5.0,15.0
တရားရုံးချုပ်,1.0,,1.0
တရားလို,,1.0,
တရားလွှတ်တော်ချုပ်,,1.0,
တရားသူကြီး,,2.0,
တရားဥပဒေ,1.0,,
တရုတ်,8.0,,1.0
တရုတ်ပြည်,2.0,,
တဝိုက်,,1.0,
တဝှမ်း,1.0,,
တသက်တာ,1.0,1.0,
တာတိုပြေးပွဲ,1.0,,
တာဗက်တာ,,,1.0
တာလင်,1.0,,
တာဝန်,6.0,2.0,
တာဝေး,,1.0,
တားမြစ်ကုန်,,1.0,
တိတ်ခွေ,,1.0,
တိန်းရှီးဖူး,,,1.0
တိပ်ခွေ,1.0,3.0,
တိဗက်,1.0,,
တိရစ္ဆာန်,1.0,,
တိရစ္ဆာန်ရုံ,2.0,,1.0
တိရိစ္ဆာန်ရုံ,2.0,,
တို,1.0,,
တိုက်,2.0,,
တိုက်ခန်း,,,1.0
တိုက်ခိုက်မှု,1.0,,
တိုက်ခိုက်ရေး,1.0,,
တိုက်ချိန်,1.0,,
တိုက်စစ်,,1.0,
တိုက်ပွဲ,8.0,1.0,1.0
တိုက်ဖျက်ရေး,1.0,,
တိုကျို,,1.0,
တိုင်,1.0,,
တိုင်ကီ,,1.0,
တိုင်ကြားစာ,,1.0,
တိုင်ပေ,2.0,,
တိုင်းကြားချက်,1.0,,
တိုင်းစ်,,,1.0
တိုင်းတပါး,,1.0,
တိုင်းပြည်,9.0,3.0,1.0
တိုင်းမ်,2.0,1.0,
တိုင်းယားလက်စ်,,,1.0
တိုရန်းတိုး,,,1.0
တိုရွန်တို,2.0,1.0,
တိုလီဒို,1.0,,
တို့,1.0,,
တိုး,,1.0,
တိုးတာချက်,,1.0,
တိုးမြှင့်လစာ,,1.0,
တီပီဘီ,1.0,,
တီဗွီ,2.0,2.0,
တီမော,5.0,,
တီးစိုက်,,1.0,
တီးနက်,1.0,,
တီးဝိုင်း,3.0,,
တုန့်ပြန်,1.0,,
တုံ့ပြန်ရာ,1.0,,
တူ,2.0,,
တူရကီ,3.0,1.0,
တူးစင်,1.0,,
တူးဆော့,,1.0,
တူးမြောင်း,,1.0,
တော,,2.0,
တောင်,3.0,5.0,
တောင်ကာရိုလိုင်းနား,,,1.0
တောင်ကုန်း,2.0,,
တောင်ကျချောင်း,,,1.0
တောင်ကြား,1.0,,
တောင်ဆင်းပြိုင်ပွဲ,1.0,,
တောင်တန်း,3.0,,
တောင်ထိပ်,1.0,1.0,
တောင်ပိုင်း,13.0,2.0,2.0
တောင်ဖက်,1.0,,
တောင်ဘက်,4.0,2.0,1.0
တောင်ဘက်စွန်း,,,1.0
တောင်ဘက်ပိုင်း,3.0,,
တောင်း,1.0,,
တောအုပ်,,,1.0
တော့အာ,,1.0,
တော်တို,,,1.0
တော်ရိုတို,1.0,,
တော်ရွန်ဒို,1.0,,
တော်လှန်ရေး,1.0,,
တဲန်းနစ်,1.0,,
တဲရန်,1.0,,
တံခါးဝ,1.0,,
တံတားတိုင်,,,1.0
တံတိုင်း,,,1.0
တွင်း,3.0,3.0,1.0
တွင်းတူးစင်,1.0,,
တွင်းပိုင်း,,1.0,
တွစ်တာ,2.0,,
တွန်းအား,,1.0,1.0
တွိ,1.0,,
တွိုင်ရယ်,1.0,,
တွေ့ဆုံပွဲ,,2.0,
တွဲဖက်,1.0,,
တွဲလ်ပကွိရမ်း,1.0,,
ထက်,1.0,,
ထင်မြင်ခဲ့ချိန်,1.0,,
ထင်မြင်ချက်,2.0,,
ထင်ရချိန်,1.0,,
ထရက်စ်ဖို့,1.0,,
ထရက်ဖို့,,,1.0
ထရက်ဖော့,1.0,,
ထရပ်ကား,,1.0,
ထရမ်,,1.0,
ထရီဘက်,,1.0,
ထရုခ်မင်နစ္စတန်,,,1.0
ထိပ်,5.0,1.0,1.0
ထိပ်ဆုံး,3.0,7.0,3.0
ထိပ်ပိုင်း,1.0,,
ထိပ်ဖျား,,1.0,
ထိုင်ဝမ်,7.0,2.0,
ထိုင်း,1.0,,
ထိုစဉ်,1.0,,
ထိုနေရာ,1.0,,
ထု,,1.0,
ထုတ်ကုန်,1.0,1.0,
ထုတ်ထားချိန်,1.0,,
ထုတ်ပေးခဲ့ချိန်,1.0,,
ထုတ်လွှင့်မည့်အရာ,1.0,,
ထူတောင်ရေး,,1.0,
ထောက်ခံအကြံပြုချက်,1.0,,
ထောင့်,5.0,,
ထောင်,9.0,6.0,
ထောင်ထဲ,1.0,,
ထောင်ဒဏ်,1.0,,
ထောင်သား,,1.0,
ထွက်ပေါက်,,1.0,
ထွက်လာချိန်,,1.0,
ဒက်ကန်,1.0,,
ဒက်ဘလင်,,1.0,
ဒင်နုဘာ,,,1.0
ဒဏ်ငွေ,2.0,,
ဒဏ်ရာ,3.0,9.0,1.0
ဒဗလျုအက်ဖ်အယ်အေ,,1.0,
ဒဗလျူစီဒဗလျူ,,1.0,
ဒဗလျူအမ်အေကျူ,,2.0,
ဒဗလျူအိခ်ျအို,1.0,,
ဒဗျူအမ်ဒီ,1.0,,
ဒမစကတ်ဒ်,,1.0,
ဒမတ်စကတ်စ်,1.0,,
ဒယ်ဖီယာ,1.0,,
ဒယ်ဟီ,,,1.0
ဒရန်းဂိုး,1.0,,
ဒရမ်,1.0,,
ဒရိုက်,1.0,,
ဒရိုင်ဘာ,,1.0,
ဒါဖါ,,1.0,
ဒါဖာ,1.0,,
ဒါဘာဇ်,,1.0,
ဒါဘီ,1.0,,
ဒါရိုက်တာ,1.0,,
ဒါရွန်,1.0,,
ဒါလီလာမားဆိုင်,1.0,,
ဒါးရက်စ်,1.0,,
ဒိန်းမတ်,1.0,1.0,
ဒိုင်ခွက်ဘောင်,1.0,,
ဒိုင်အောက်ဆိုဒ်,1.0,2.0,
ဒိုင်းနမိုက်,1.0,,
ဒိုမိန်း,1.0,,
ဒိုဟာ,1.0,,
ဒီ,1.0,1.0,
ဒီ.စီ.,1.0,,
ဒီကလမ်,1.0,,
ဒီကေချာ,,,1.0
ဒီဂို,1.0,,1.0
ဒီစီ,5.0,1.0,
ဒီဇင်ဘာ,10.0,5.0,
ဒီဇိုင်း,3.0,,
ဒီဒဗလျူပီ,1.0,,
ဒီဗာဇလီစ်,1.0,,
ဒီမိုကရက်ပါတီ,1.0,,
ဒီမိုကရေစီ,1.0,,
ဒီရာသီ,,1.0,
ဒီရာ့စ်,1.0,,
ဒီလေး,,,1.0
ဒီအမ်ဇာတ်,,1.0,
ဒုက္ခသည်,,2.0,
ဒုတိယ-ဗိုလ်လုပွဲ,,1.0,
ဒုတိယပိုင်း,7.0,1.0,1.0
ဒုံးကျည်,2.0,,
ဒုံးပျံ,3.0,,
ဒူဂျေး,1.0,,
ဒူဘိုင်း,1.0,,
ဒေတာ,,1.0,
ဒေလီ,3.0,,
ဒေသ,73.0,13.0,7.0
ဒေသခံ,1.0,,
ဒေသခံပေါင်း,1.0,,
ဒေသတွင်း,5.0,1.0,3.0
ဒေါင်နာ,,1.0,
ဒေါ့တီ,1.0,,
ဒေါ်လာ,1.0,3.0,
ဒဲလ်စ်,1.0,,
ဓာတု,1.0,,
ဓာတုစွမ်းရည်,1.0,,
ဓာတ်ခွဲခန်း,2.0,,1.0
ဓာတ်ငွေ့,3.0,2.0,
ဓာတ်တိုင်,1.0,,
ဓာတ်ပုံ,1.0,1.0,1.0
ဓာတ်ပေါင်းဖို,2.0,,
ဓာတ်အား,1.0,,
ဓားစာခံ,1.0,,
ဓားစားခံ,,1.0,
ဓားပြ,1.0,1.0,
နက်ဝက်,2.0,,
နက်ဝပ်,1.0,,
နက်ဝပ်ရောက်တာ,1.0,,
နက်ဝေါ့,1.0,,
နစ်စက်,1.0,,
နည်း,4.0,,1.0
နည်းစနစ်,1.0,1.0,
နည်းပညာ,5.0,1.0,
နည်းပြ,1.0,,
နည်းလမ်း,6.0,2.0,
နန်ဂန်,,,1.0
နန်နွတ်ခ်,1.0,,
နန်းတော်,3.0,,
နပန်း,1.0,,
နပွာ,1.0,,
နဖူး,1.0,,
နမီးဘီးယား,1.0,,
နမူနာ,,1.0,
နယူး,,1.0,1.0
နယူးဇီလန်,12.0,4.0,1.0
နယူးတောင်းဟန်မင်တန်,1.0,,
နယူးယောက်,7.0,2.0,
နယ်,5.0,1.0,
နယ်စပ်,2.0,1.0,
နယ်စပ်ကြား,1.0,,
နယ်ဒေသ,1.0,,
နယ်နမိတ်,1.0,1.0,
နယ်နိမိတ်,4.0,,1.0
နယ်ပယ်,19.0,2.0,2.0
နယ်မြေ,47.0,5.0,2.0
နယ်သာလန်,1.0,,
နရှာဘန်ဒီယ,1.0,,
နာဆာ,1.0,,1.0
နာဇရန်,1.0,,
နာတန်ရာ,1.0,,
နာဗားဒါ,,1.0,
နာမည်,1.0,,
နာမီ,1.0,,
နာယက,2.0,,
နာရီ,54.0,18.0,13.0
နာရီခွဲ,2.0,,
နာရီပိုင်း,,1.0,
နာရီဝက်,3.0,2.0,
နား,1.0,1.0,
နားချိန်,2.0,,
နိဒါန်း,1.0,,
နိမ့်ပိုင်း,1.0,,
နိုက်ကလပ်,,,1.0
နိုင်ခြေ,4.0,,
နိုင်ဂျီးရီးယား,2.0,,
နိုင်ငံ,195.0,31.0,20.0
နိုင်ငံခြား,1.0,,
နိုင်ငံတကာပွဲ,1.0,,
နိုင်ငံပေါင်း,1.0,,
နိုင်ငံရပ်ခြား,1.0,1.0,
နိုင်ငံရေး,9.0,,1.0
နိုင်ငံသား,2.0,1.0,
နိုင်ငံ့ကြွေးမြီ,1.0,,
နိုဗက်ခ်,,,1.0
နိုဝင်ဘာ,1.0,1.0,2.0
နီဂျိုင်ဒါ,1.0,,
နီပေါ,2.0,,
နီယွန်,,,1.0
နီးပါ,1.0,,
နီးလပ်,1.0,,
နုဂျန်,1.0,,
နေချိန်,2.0,1.0,
နေတိုး,,,1.0
နေရာ,264.0,105.0,40.0
နေရာတိုင်း,4.0,2.0,
နေရာလွတ်,,1.0,
နေရှင်,,1.0,
နေလည်,1.0,,
နေအိမ်,10.0,,4.0
နောက်,30.0,16.0,4.0
နောက်ကျော,1.0,,
နောက်ကျောဘက်,2.0,,
နောက်ကွယ်,12.0,1.0,2.0
နောက်ခံမြင်ကွင်း,1.0,,
နောက်ဆက်စကား,1.0,,
နောက်ဆက်တွဲ,1.0,1.0,
နောက်ဆုတ်,,1.0,
နောက်ဆုံး,59.0,20.0,8.0
နောက်တနေ့,1.0,,
နောက်တန်း,2.0,,
နောက်ပိုင်း,99.0,13.0,5.0
နောက်ဘက်,2.0,,
နောက်ဘက်ပိုင်း,1.0,,
နောင်,9.0,,
နောင်း,1.0,,
နော့,1.0,,
နော့တင်ဟမ်,,,1.0
နော်ဝေး,,1.0,
နေ့,616.0,63.0,29.0
နေ့ကလေးထိန်းကျောင်း,,1.0,
နေ့ခင်း,1.0,,
နေ့စွဲပါ,1.0,,
နေ့ရက်,3.0,1.0,2.0
နေ့လည်,6.0,1.0,
နေ့လည်ခင်း,1.0,,
နေ့လည်ပိုင်း,6.0,,
နေ့လယ်ပိုင်း,1.0,,
နံနက်,23.0,2.0,2.0
နံနက်ပိုင်း,4.0,,1.0
နံပါတ်,3.0,1.0,
နံဘေး,1.0,,
နံရံ,,,1.0
နျူကလီးယား,2.0,,
နွေဦး,3.0,,
နှင်း,,1.0,
နှစ်,105.0,33.0,5.0
နှစ်စဉ်,2.0,,
နှစ်ပတ်လည်ပွဲ,1.0,,
နှစ်ပေါင်း,4.0,1.0,
နှစ်ဖက်,,,1.0
နှစ်မြှုပ်,,1.0,
နှစ်လည်ပိုင်း,1.0,,
နှစ်လယ်,1.0,,
နှစ်လယ်ပိုင်း,2.0,,
နှစ်ဝက်,1.0,,
နှလုံးသား,1.0,,
နှိုင်းယှဉ်ရာ,1.0,,
နှုတ်ခမ်း,,,1.0
နှုန်း,5.0,11.0,1.0
နှောင်းပိုင်း,17.0,2.0,1.0
ပက်စ်ကာရာ,1.0,,
ပင်ကိုယ်စွမ်းရည်,1.0,,
ပင်နတီ,1.0,,
ပင်နယ်တီ,,1.0,
ပင်မ,1.0,,
ပင်ရီ,1.0,,
ပင်လယ်,5.0,2.0,2.0
ပင်လယ်ကွေ့,5.0,,3.0
ပင်လယ်ပြင်,3.0,3.0,2.0
ပင်လယ်အော်,3.0,1.0,
ပင်ဟေဂင်,1.0,,
ပစိဖိတ်,,1.0,
ပစ္စည်း,2.0,4.0,
ပစ်ကင်းစ်,1.0,,
ပစ်မှတ်,1.0,2.0,
ပစ်ရာ,1.0,,
ပစ်၍,1.0,,
ပညာ,,1.0,
ပညာကြားခွင့်,,1.0,
ပညာပေးရေး,,1.0,
ပညာရပ်,3.0,,
ပညာရေး,2.0,1.0,1.0
ပညာရှင်,1.0,2.0,
ပဋိပက္ခ,4.0,1.0,1.0
ပဏာမ,1.0,,1.0
ပတ္တာနာ,,,1.0
ပတ်လမ်း,4.0,,
ပတ်လမ်းကြောင်း,3.0,,
ပတ်ဝန်းကျင်,17.0,3.0,
ပထမပိုင်း,6.0,2.0,2.0
ပထဝီစာအုပ်,1.0,,
ပန်ဂါ,,1.0,
ပန်စစ်ဗန်းနီးယား,1.0,,
ပန်စီဗန်နီးယား,2.0,,
ပန်ဆီဗေးနီးယား,1.0,,
ပန်ဟာဂန်,1.0,,
ပန်း,2.0,,
ပန်းချီကား,1.0,,
ပန်းခြံ,12.0,3.0,2.0
ပန်းတိုင်,1.0,,
ပမာဏ,2.0,3.0,
ပရင့်စက်,,,1.0
ပရစ်,2.0,,
ပရဝုဏ်,1.0,,
ပရိတ်သတ်,1.0,,
ပရိသတ်,,1.0,
ပရိုဂရမ်,3.0,1.0,
ပရိုင်မာရီ,1.0,,
ပရီးမီးယားရှစ်,1.0,,
ပရောဂျက်,1.0,,
ပလိန်း,1.0,,
ပါကင်,3.0,,
ပါကစ္စတန်,6.0,1.0,4.0
ပါဆယ်,1.0,,
ပါတီ,8.0,6.0,
ပါပီဂန်,,,1.0
ပါရာဒတ်,1.0,,
ပါရာဒိုက်,1.0,,
ပါရာဒိုက်စ်,1.0,,
ပါရာဒီပလပ်,1.0,,
ပါရာလစ်ပစ်,1.0,,
ပါရာလမ်ပစ်,,,1.0
ပါရာလံပစ်ပွဲ,1.0,,
ပါလက်စတိုင်း,3.0,1.0,
ပါလီမန်,9.0,2.0,4.0
ပါဝါ,1.0,,
ပါ့တ်,1.0,,
ပါးစပ်,1.0,,
ပိတ်ချိန်,2.0,,
ပိတ်ဆို့,,2.0,
ပိတ်ဆို့ချိန်,1.0,,
ပိတ်ဆို့ပေါက်,1.0,,
ပိတ်ရက်,4.0,,
ပိတ်လှောင်ခံရချိန်,1.0,,
ပိုက်,,1.0,
ပိုက်ဆံ,1.0,,
ပိုက်လိုင်း,1.0,,
ပိုင်စလယ်,1.0,,
ပိုင်နက်,3.0,,
ပိုင်ရှင်,1.0,1.0,
ပိုလန်,2.0,,
ပိုလီနေးရှား,,1.0,
ပို့ကုန်ငွေ,,,1.0
ပို့စ်,5.0,1.0,1.0
ပို့အယူပရင့်စ်,,1.0,
ပီ.အမ်,2.0,1.0,
ပီတာစဘက်,1.0,,
ပီတာစဘတ်,,1.0,
ပီတီ,1.0,,
ပီဘာရာ,,,1.0
ပီဘီလီ,1.0,,
ပီဘီအက်စ်,1.0,,
ပီအမ်,4.0,1.0,
ပုပ်ရဟန်းမင်းကြီး,,1.0,
ပုံ,5.0,6.0,
ပုံစံ,12.0,3.0,1.0
ပုံနှိပ်စာမူကြမ်း,1.0,,
ပုံနှိပ်ထုတ်စက်,1.0,,
ပုံမှန်,,1.0,
ပုံရိပ်,2.0,,
ပုံသဏ္ဌာန်,1.0,,
ပူဂျို,1.0,,
ပူးပေါင်း,1.0,,
ပေ,5.0,1.0,2.0
ပေကျင်း,1.0,,
ပေါက်ကွဲခဲ့ချိန်,1.0,,
ပေါက်ကွဲချိန်,1.0,,
ပေါက်ကွဲမူ,1.0,,
ပေါင်,2.0,1.0,
ပေါင်း,1.0,,
ပေါလ်,,1.0,
ပေါ်,1.0,1.0,
ပေါ်လစီ,,1.0,
ပေ့စ်,1.0,,
ပေးချက်,,1.0,
ပေးစာ,1.0,,
ပေးရာ,,1.0,
ပေးအပ်ငွေ,1.0,,
ပဲရစ်,1.0,,
ပံ့ပိုးသူ,1.0,,
ပျက်ကျချိန်,1.0,,
ပျမ်းမျှတန်ဖိုး,1.0,,
ပျံ့နှံ့,1.0,,
ပြခန်း,,2.0,
ပြခဲ့ချိန်,,1.0,
ပြင်ဆင်နေချိန်,1.0,1.0,
ပြင်ဆင်ရာ,1.0,,
ပြင်ဆင်ရေး,1.0,,
ပြင်ပ,10.0,1.0,
ပြင်သစ်,7.0,3.0,1.0
ပြင်သစ်-ကေအန်လ်အမ်,,1.0,
ပြစ်ဒဏ်,2.0,1.0,
ပြစ်ဒဏ်ကြေး,1.0,,
ပြဇာတ်ရုံ,2.0,,
ပြည့်နှစ်,2.0,,
ပြည်တွင်း,,,1.0
ပြည်ထောင်စု,32.0,6.0,5.0
ပြည်နယ်,65.0,14.0,14.0
ပြည်နယ်စု,1.0,,
ပြည်နှင်ဒဏ်,1.0,,
ပြည်ပ,4.0,2.0,
ပြည်မကြီး,1.0,,
ပြည်ဝင်ခွင့်ဗီဇာ,1.0,,
ပြည်သူ,1.0,,
ပြည်သူလူထု,,1.0,
ပြတင်းပေါက်,1.0,,
ပြတိုက်,4.0,,
ပြန်ကစားပွဲ,,,1.0
ပြန်တမ်း,,1.0,
ပြန်ပေးဆွဲခံရချိန်,1.0,,
ပြန်လမ်း,1.0,,
ပြန်အမ်းငွေ,1.0,,
ပြပွဲ,13.0,2.0,1.0
ပြသရာ,1.0,,
ပြာ,,1.0,
ပြိုကျချိန်,1.0,,
ပြိုင်ပွဲ,98.0,29.0,16.0
ပြိုင်ပွဲစဉ်,1.0,,
ပြိုင်ပွဲဇယား,1.0,,
ပြိုင်ပွဲရာသီ,1.0,,
ပြိုင်ဘက်,1.0,,
ပြိုင်ရာ,1.0,,
ပြီးခါနီး,1.0,,
ပြီးဆုံးချိန်,2.0,,
ပြီးပြီးချင်း,,,1.0
ပြုပြင်ရာ,,1.0,
ပြုလုပ်နေချိန်,1.0,,
ပြူတင်းပေါက်,,1.0,
ပြေစာ,1.0,1.0,
ပြောကြားချက်,1.0,1.0,
ပြောချိန်,2.0,,
ပြောစကား,,,1.0
ပြေးရာ,1.0,,
ပြေးလမ်း,6.0,,1.0
ပြွန်,1.0,,
ပြဿနာ,3.0,6.0,
ပွိုင့်,3.0,,
ပွဲ,108.0,34.0,18.0
ပွဲစဉ်,40.0,7.0,2.0
ပွဲစဥ်,6.0,,
ပွဲတော်,9.0,1.0,5.0
ပွဲဝက်,1.0,,
ပွဲဦးထွက်,3.0,1.0,
ဖက်,2.0,,
ဖင်လန်,1.0,1.0,
ဖန်,1.0,,
ဖန်သားပြင်,1.0,,1.0
ဖယ်ရီ,,1.0,
ဖရက်ကင်,1.0,,
ဖရက်နို,1.0,,
ဖရန့်,1.0,,
ဖရန်ကလင်စတိန်း,1.0,,
ဖလား,8.0,1.0,
ဖလားပွဲ,3.0,,
ဖလိန်း,1.0,,
ဖလိုင်း,1.0,,
ဖလူဂျ,,1.0,
ဖလော်ရီတာ,1.0,,
ဖလော်ရီဒါ,3.0,,
ဖလှယ်ရေး,1.0,,
ဖာရင်ဟိုက်,2.0,,
ဖိစ်ယာ,1.0,,
ဖိလစ်ပိုင်,2.0,1.0,
ဖိအား,1.0,,
ဖိုချာဘားစ်,,,1.0
ဖိုင်နယ်,6.0,,
ဖိုင်နယ်ရှယ်တိုင်း,1.0,,
ဖိုရမ်,2.0,,
ဖိုးချမ်း,1.0,,
ဖီဂါရို,1.0,,
ဖီဂျီ,2.0,,
ဖီလဒယ်ဖီယာ,1.0,,
ဖီလာဒယ်ဖီယာ,1.0,,
ဖီလာဒဲဖီးယား,,1.0,1.0
ဖီလ်,1.0,,
ဖုန်း,3.0,1.0,
ဖုန်းမက်ဆေ့,1.0,,
ဖူ့နာ,,1.0,
ဖေဖော်ဝါရီ,2.0,,
ဖောက်ခွဲချိန်,1.0,,
ဖောက်ခွဲရေး,1.0,,
ဖောက်သည်,1.0,1.0,
ဖောင်ဒေးရှင်း,1.0,,
ဖော်ဆီ,1.0,,
ဖော်ထုတ်ရာ,,1.0,
ဖော်ရမ်,,1.0,
ဖေ့ဒ်,,1.0,
ဖေ့ဘုတ်,2.0,,
ဖျား,1.0,,
ဖြစ်ခဲ့ချိန်,1.0,,
ဖြစ်စဉ်,9.0,4.0,2.0
ဖြစ်စဥ်,,1.0,
ဖြစ်နေချိန်,3.0,,
ဖြစ်ပေါ်လာချိန်,1.0,,
ဖြစ်ပွားချိန်,2.0,,1.0
ဖြစ်ပွားမူ,1.0,,
ဖြစ်ရပ်,27.0,6.0,1.0
ဖြစ်လာချိန်,1.0,,
ဖြစ်သွားချိန်,1.0,,
ဖြည့်စွက်ချက်,,1.0,
ဖြည့်ရုံ,,,1.0
ဖြတ်သန်းခွင့်,1.0,,
ဖွင့်ပွဲ,1.0,,
ဖွဲ့,3.0,,
ဖွဲ့စည်းပုံ,1.0,1.0,
ဖွံ့ဖြိုးတိုးတက်ရေး,,1.0,
ဗစ်တိုးရီးယား,3.0,1.0,
ဗန်ကိုဗာ,1.0,,
ဗန်ကူဗား,1.0,,
ဗလာဒီဗိုလ်စတော့ခ်,1.0,,
ဗလီ,3.0,,2.0
ဗဟို,1.0,,
ဗာဂျီးနီးယား,1.0,1.0,
ဗာစ်ဟဲမ်,,,1.0
ဗားရှင်း,1.0,,
ဗိုရိုနင်,,1.0,
ဗိုလ်လုပွဲ,6.0,,1.0
ဗီဒီယို,5.0,4.0,
ဗီယက်နမ်,1.0,,
ဗီယမ်နမ်,1.0,,
ဗီယမ်နာ,1.0,,
ဗီလာရပ်စ်,1.0,,
ဗီလ်,1.0,,
ဗီလ်ဗိုလ်ရယ်ဒ်,1.0,,
ဗုဒ္ဓဘာသာဝင်,,1.0,
ဗုံ-လုပ်ရာ,1.0,,
ဗုံး,15.0,3.0,3.0
ဗုံးခွဲရာ,1.0,,
ဗုံးဆန်,,1.0,
ဗုံးပေါက်ကွဲ,1.0,,
ဗော့ဂ်တ်,1.0,,
ဗေးလ်,1.0,,
ဗျူရို,,2.0,1.0
ဗျူးခရက်စ်,1.0,,
ဗြိတိန်,8.0,,1.0
ဗြူးဖေါ့,2.0,,
ဗွီဒီယို,9.0,2.0,
ဗွီဒီယူပီ,,1.0,
ဘက်,11.0,3.0,
ဘက်ကဒတ်,,1.0,
ဘက်ခြမ်း,1.0,1.0,
ဘက်စ်ကား,1.0,1.0,
ဘက်စ်ရာ,1.0,,
ဘက်ဖို့ရှိုင်းယား,,1.0,
ဘက်မာတီ,1.0,,
ဘဂ္ဂဒက်,6.0,2.0,1.0
ဘင်္ဂလားဒေ့ရှ်,1.0,,
ဘစ်ရှားဝါး,1.0,,
ဘဏ္ဍာရေး,,1.0,
ဘဏ်,6.0,3.0,
ဘတ်ကား,1.0,,
ဘတ်ဂျက်,2.0,1.0,
ဘတ်ဂျစ်,1.0,,
ဘတ်စ်ကား,3.0,,
ဘတ်စ်ကျုး,1.0,,
ဘန်ကောက်,2.0,,1.0
ဘန်စတန်,1.0,,
ဘန်ဒက်စ်ရက်,,,1.0
ဘန်ဒါဘက်,,,1.0
ဘန်ဟီယန်,1.0,,
ဘန်း,1.0,,
ဘန်းစကား,1.0,,
ဘယန့်ဒ်,,1.0,
ဘယ်ဂျီယံ,1.0,,
ဘယ်တီ,1.0,,
ဘယ်ရီ,,1.0,
ဘယ်လ်ဂျီယမ်,,1.0,
ဘယ်လ်ဂျီယံ,2.0,,
ဘရင့်,,1.0,
ဘရစ်ခ်ျ,,1.0,
ဘရစ်တွန်,1.0,1.0,
ဘရစ်အမ်,,1.0,
ဘရမ်မ်တန်,1.0,,
ဘရာဇီး,,,3.0
ဘရားသား,1.0,,
ဘရိုက်,1.0,,
ဘရုနို,1.0,,
ဘရူဆဲလ်,1.0,,
ဘရောင်း,,1.0,
ဘရောင်းဆန်ဒါ,,,1.0
ဘရွတ်,1.0,,
ဘရွတ်ကလင်း,1.0,,
ဘရွန်ကို့စ်,1.0,,
ဘရွန်စ်,,1.0,
ဘရွန်မီ,1.0,,
ဘလောခ့်,,,1.0
ဘလောင်းတ်,,2.0,
ဘလော့,2.0,,
ဘလော့ဂ်,2.0,2.0,
ဘဝ,10.0,2.0,
ဘာကူ,1.0,,
ဘာကွာ,,1.0,
ဘာဆယ်,1.0,,
ဘာတီကန်,,1.0,
ဘာနို,,1.0,
ဘာမင်ဂန်,,1.0,
ဘာမင်ဂမ်,1.0,,
ဘာမင်ဟန်,1.0,,
ဘာမင်ဟမ်,2.0,,
ဘာရိန်း,2.0,1.0,
ဘာရီ,,1.0,
ဘာလင်,1.0,,1.0
ဘာလီ,1.0,,
ဘာလူကိုနီ,1.0,,
ဘာသာ,2.0,1.0,
ဘာသာတရား,1.0,,
ဘာသာပြန်,,,1.0
ဘာသာရပ်,,1.0,
ဘာသာရေး,3.0,,
ဘား,1.0,,1.0
ဘားဘားရ,1.0,,
ဘိုင်းရို့,,,1.0
ဘိုနာ,1.0,,
ဘိုလီးဗီးယား,2.0,,
ဘိုလ်လာဒ်,,1.0,
ဘီ,3.0,1.0,
ဘီဂျင်း,2.0,,
ဘီစီ,2.0,,
ဘီဇလီ,,1.0,
ဘီဒီယန်,1.0,,
ဘီဘီစီ,1.0,2.0,
ဘီယာ,,1.0,
ဘီလီယမ်,1.0,,
ဘီလီယံ,,1.0,
ဘီလျံနာ,,2.0,
ဘီအက်စ်တီ,,,1.0
ဘီအက်တီ,1.0,,
ဘုတ်ပြား,,,1.0
ဘုန်းကြီးကျောင်း,1.0,,
ဘုရားကျောင်း,8.0,4.0,2.0
ဘုရှ်,1.0,1.0,
ဘုံဘေ,1.0,,
ဘူခရက်,,,1.0
ဘူခါ,1.0,,
ဘူချာရက်,1.0,,
ဘူချာရတ်,1.0,,
ဘူဂေးလ်ရီးယား,1.0,,
ဘူတာ,1.0,,1.0
ဘူတာရုံ,1.0,4.0,
ဘူဒါပက်,1.0,,
ဘူဒါပက်စ်,,1.0,
ဘေကွန်ဖီးလ်,1.0,,
ဘေဂျင်း,,1.0,1.0
ဘေစင်,1.0,,
ဘောက်စ်,1.0,1.0,
ဘောင်,1.0,,
ဘောင်းဘီ,2.0,,
ဘောင်းလ်,1.0,,
ဘောလုံး,3.0,,
